num_employees,num_tasks,num_skills,total_required_workload,total_available_capacity,capacity_ratio,avg_candidates_per_task,min_candidates_per_task,fraction_single_candidate_tasks,fraction_zero_candidate_tasks,is_feasible,score,runtime_ms,unassigned_tasks,mode
5,10,5,65,125,0.52,2.6,1,0.3,0.0,1,0hard/-807soft,30228,0,hard
5,10,5,64,109,0.5871559633027523,2.3,1,0.2,0.0,1,0hard/-788soft,30228,0,hard
5,10,5,64,123,0.5203252032520326,2.0,1,0.4,0.0,1,0hard/-864soft,30250,0,hard
5,10,4,66,109,0.6055045871559633,3.4,1,0.1,0.0,1,0hard/-806soft,30292,0,hard
5,10,4,73,129,0.5658914728682171,2.2,1,0.6,0.0,1,0hard/-1291soft,30267,0,hard
5,10,4,61,102,0.5980392156862745,2.7,2,0.0,0.0,1,0hard/-707soft,30211,0,hard
5,10,5,66,88,0.75,2.0,1,0.4,0.0,0,-950hard/-835soft,30297,1,hard
5,10,5,58,111,0.5225225225225225,1.7,1,0.5,0.0,0,-800hard/-1012soft,30242,0,hard
5,10,5,61,116,0.5258620689655172,2.4,0,0.0,0.1,0,-1000hard/-715soft,30265,0,hard
5,10,5,71,111,0.6396396396396397,2.8,2,0.0,0.0,1,0hard/-935soft,30196,0,hard
5,10,5,58,109,0.5321100917431193,1.8,0,0.3,0.1,0,-500hard/-625soft,30199,1,hard
5,10,5,60,125,0.48,1.7,1,0.3,0.0,0,-50hard/-902soft,30221,0,hard
5,10,5,58,109,0.5321100917431193,2.0,1,0.4,0.0,1,0hard/-650soft,30217,0,hard
5,10,5,69,107,0.6448598130841121,2.0,1,0.1,0.0,1,0hard/-1037soft,30193,0,hard
5,10,5,61,110,0.5545454545454546,1.2,1,0.9,0.0,0,-1200hard/-979soft,30198,0,hard
5,10,5,71,117,0.6068376068376068,1.4,1,0.6,0.0,0,-550hard/-1314soft,30239,1,hard
5,10,5,70,100,0.7,2.6,1,0.1,0.0,1,0hard/-946soft,30239,0,hard
5,10,5,61,111,0.5495495495495496,2.9,1,0.1,0.0,1,0hard/-699soft,30202,0,hard
5,10,3,76,125,0.608,2.3,1,0.5,0.0,0,-1200hard/-1336soft,30217,0,hard
5,10,5,59,128,0.4609375,1.7,1,0.4,0.0,1,0hard/-927soft,30216,0,hard
5,10,5,75,111,0.6756756756756757,1.2,1,0.8,0.0,0,-2000hard/-1245soft,30202,0,hard
5,10,5,69,115,0.6,2.2,1,0.3,0.0,1,0hard/-911soft,30202,0,hard
5,10,5,57,117,0.48717948717948717,1.9,0,0.5,0.1,0,-1000hard/-633soft,30198,0,hard
5,10,4,62,118,0.5254237288135594,2.2,1,0.4,0.0,1,0hard/-772soft,30199,0,hard
5,10,4,67,116,0.5775862068965517,1.3,1,0.7,0.0,0,-2550hard/-1150soft,30233,1,hard
5,10,5,77,107,0.719626168224299,2.8,1,0.1,0.0,1,0hard/-1127soft,30209,0,hard
5,10,4,68,122,0.5573770491803278,3.1,1,0.3,0.0,1,0hard/-984soft,30243,0,hard
5,10,4,70,126,0.5555555555555556,2.2,1,0.2,0.0,1,0hard/-1302soft,30207,0,hard
5,10,5,59,96,0.6145833333333334,2.2,1,0.1,0.0,1,0hard/-763soft,30216,0,hard
5,10,4,60,100,0.6,2.6,2,0.0,0.0,1,0hard/-738soft,30211,0,hard
5,10,5,64,121,0.5289256198347108,2.4,1,0.3,0.0,1,0hard/-844soft,30201,0,hard
5,10,5,67,118,0.5677966101694916,1.9,1,0.3,0.0,0,-1000hard/-841soft,30201,0,hard
5,10,5,68,102,0.6666666666666666,2.4,1,0.2,0.0,1,0hard/-906soft,30209,0,hard
5,10,5,65,109,0.5963302752293578,2.0,1,0.4,0.0,1,0hard/-853soft,30292,0,hard
5,10,5,72,116,0.6206896551724138,1.4,0,0.6,0.1,0,-1050hard/-1318soft,30218,0,hard
5,10,4,75,95,0.7894736842105263,1.6,1,0.4,0.0,0,-550hard/-1081soft,30227,1,hard
5,10,4,64,123,0.5203252032520326,1.6,1,0.4,0.0,0,-200hard/-1212soft,30246,0,hard
5,10,5,67,124,0.5403225806451613,1.6,1,0.5,0.0,0,-50hard/-1193soft,30228,0,hard
5,10,5,73,101,0.7227722772277227,2.3,1,0.3,0.0,1,0hard/-1121soft,30211,0,hard
5,10,5,70,113,0.6194690265486725,1.8,1,0.2,0.0,1,0hard/-1046soft,30208,0,hard
5,10,4,74,112,0.6607142857142857,3.0,2,0.0,0.0,1,0hard/-1056soft,30214,0,hard
5,10,5,56,119,0.47058823529411764,2.6,2,0.0,0.0,1,0hard/-718soft,30209,0,hard
5,10,4,69,116,0.5948275862068966,2.5,0,0.2,0.1,0,-1000hard/-915soft,30217,0,hard
5,10,5,58,122,0.47540983606557374,2.4,2,0.0,0.0,1,0hard/-632soft,30196,0,hard
5,10,4,62,120,0.5166666666666667,2.2,1,0.4,0.0,1,0hard/-814soft,30200,0,hard
5,10,5,71,87,0.8160919540229885,1.5,0,0.3,0.1,0,-1050hard/-989soft,30201,0,hard
5,10,4,73,115,0.6347826086956522,3.3,2,0.0,0.0,1,0hard/-991soft,30195,0,hard
